Timestamp,Direction,UDS Service,Payload/Data,Latency (ms)
01:29:14.146,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.256,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.356,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.466,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.566,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.676,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.776,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.886,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:14.986,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.096,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.196,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.306,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.406,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.516,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.616,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.726,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.826,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:15.936,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.036,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.146,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.246,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.356,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.456,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.492,Tx,0x2F,02 FD 80 01 00 00 00 09 0E 80 10 00 2F 01 02 03 00,---
01:29:16.499,Rx,0x2F,02 FD 80 01 00 00 00 08 10 00 0E 80 6F 01 01 03,6.7 ms
01:29:16.568,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.666,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.776,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.876,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:16.986,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:17.086,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:17.196,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:17.296,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:17.392,Tx,0x2F,02 FD 80 01 00 00 00 09 0E 80 10 00 2F 01 02 03 01,---
01:29:17.398,Rx,0x2F,02 FD 80 01 00 00 00 08 10 00 0E 80 6F 01 01 03,6.64 ms
01:29:17.408,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
01:29:17.507,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 22,---
