Timestamp,Direction,UDS Service,Payload/Data,Latency (ms)
02:40:32.304,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:32.414,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:32.514,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:32.624,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:32.734,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:32.844,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:32.944,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.054,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.164,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.274,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.384,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.482,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.592,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.702,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.812,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:33.911,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.021,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.131,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.241,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.339,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.449,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.559,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.669,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.768,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.878,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:34.988,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.098,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.198,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.308,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.418,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.528,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.627,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.737,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.847,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:35.957,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.067,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.166,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.276,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.386,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.496,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.595,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.705,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.815,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:36.925,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.035,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.134,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.244,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.354,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.464,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.564,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.674,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.784,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.894,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:37.994,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 50,---
02:40:38.104,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 45,---
02:40:38.214,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 49,---
02:40:38.314,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4C,---
02:40:38.424,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4D,---
02:40:38.534,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4E,---
02:40:38.644,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:38.744,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:38.854,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:38.964,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.074,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.172,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.281,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.392,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.502,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.599,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.709,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
02:40:39.820,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 4F,---
